policy,seed,target_region_index,detected,termination_reason,steps,photons_used,target_posterior,maximum_non_target_posterior
uniform,11,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
uniform,11,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
uniform,11,2,True,target_detected,3,750000000000.0,0.9999999886674079,0.1
uniform,11,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
uniform,11,4,True,target_detected,11,2750000000000.0,0.9971006082880244,0.08122198326541286
uniform,11,5,False,photon_budget_exhausted,20,5000000000000.0,0.052994003604709634,0.26155352105113017
uniform,22,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
uniform,22,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
uniform,22,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
uniform,22,3,True,target_detected,10,2500000000000.0,0.9230854491693788,0.08122198326541286
uniform,22,4,True,target_detected,17,4250000000000.0,0.9997521446125354,0.06571264794576043
uniform,22,5,False,photon_budget_exhausted,20,5000000000000.0,0.052994003604709634,0.015499113091399008
uniform,33,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
uniform,33,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
uniform,33,2,True,target_detected,3,750000000000.0,0.999999999918672,0.1
uniform,33,3,True,target_detected,10,2500000000000.0,0.9230854491693788,0.08122198326541286
uniform,33,4,False,photon_budget_exhausted,20,5000000000000.0,0.26155352105113017,0.052994003604709634
uniform,33,5,False,photon_budget_exhausted,20,5000000000000.0,0.32351613865355927,0.015499113091399008
uniform,44,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
uniform,44,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
uniform,44,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
uniform,44,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
uniform,44,4,False,photon_budget_exhausted,20,5000000000000.0,0.26155352105113017,0.052994003604709634
uniform,44,5,False,photon_budget_exhausted,20,5000000000000.0,0.052994003604709634,0.015499113091399008
uniform,55,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
uniform,55,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
uniform,55,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
uniform,55,3,True,target_detected,4,1000000000000.0,0.9999954216167337,0.1
uniform,55,4,True,target_detected,5,1250000000000.0,0.967018927103892,0.1
uniform,55,5,False,photon_budget_exhausted,20,5000000000000.0,0.052994003604709634,0.015499113091399008
random,11,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
random,11,1,False,photon_budget_exhausted,20,5000000000000.0,0.1,0.052994003604709634
random,11,2,True,target_detected,4,1000000000000.0,0.9702504894583266,0.1
random,11,3,True,target_detected,6,1500000000000.0,0.9985505390725371,0.1
random,11,4,True,target_detected,17,4250000000000.0,0.9997521446125354,0.1
random,11,5,False,photon_budget_exhausted,20,5000000000000.0,0.32351613865355927,0.1
random,22,0,True,target_detected,6,1500000000000.0,0.999999999999,0.08122198326541286
random,22,1,True,target_detected,4,1000000000000.0,0.999999999999,0.1
random,22,2,True,target_detected,2,500000000000.0,0.9997800056613655,0.1
random,22,3,True,target_detected,3,750000000000.0,0.9851381945172595,0.1
random,22,4,False,photon_budget_exhausted,20,5000000000000.0,0.054753710267551485,0.2756198789121749
random,22,5,False,photon_budget_exhausted,20,5000000000000.0,0.2756198789121749,0.054753710267551485
random,33,0,False,photon_budget_exhausted,20,5000000000000.0,0.1,0.27561987891217465
random,33,1,True,target_detected,7,1750000000000.0,0.999999999999,0.375421983808932
random,33,2,True,target_detected,2,500000000000.0,0.9702504894583266,0.43035778806286384
random,33,3,True,target_detected,9,2250000000000.0,0.9985505390725371,0.375421983808932
random,33,4,False,photon_budget_exhausted,20,5000000000000.0,0.8885022340012402,0.27561987891217465
random,33,5,False,photon_budget_exhausted,20,5000000000000.0,0.27561987891217465,0.1
random,44,0,True,target_detected,2,500000000000.0,0.999999999999,0.1
random,44,1,True,target_detected,4,1000000000000.0,0.999999999999,0.1
random,44,2,True,target_detected,16,4000000000000.0,0.9998955510603968,0.052994003604709634
random,44,3,True,target_detected,5,1250000000000.0,0.9997372576063336,0.1
random,44,4,False,photon_budget_exhausted,20,5000000000000.0,0.15586982678692976,0.052994003604709634
random,44,5,False,photon_budget_exhausted,20,5000000000000.0,0.32351613865355944,0.15586982678692976
random,55,0,True,target_detected,15,3750000000000.0,0.999999999999,0.06571264794576043
random,55,1,True,target_detected,5,1250000000000.0,0.999999999999,0.1
random,55,2,True,target_detected,10,2500000000000.0,0.9999999886674079,0.1
random,55,3,True,target_detected,9,2250000000000.0,0.9997372576063336,0.1
random,55,4,False,photon_budget_exhausted,20,5000000000000.0,0.02549585405832988,0.052994003604709634
random,55,5,False,photon_budget_exhausted,20,5000000000000.0,0.052994003604709634,0.0036290601613175356
greedy,11,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
greedy,11,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
greedy,11,2,True,target_detected,3,750000000000.0,0.9999999886674079,0.1
greedy,11,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
greedy,11,4,False,photon_budget_exhausted,20,5000000000000.0,0.008140516616910731,0.07131043815756215
greedy,11,5,True,target_detected,20,5000000000000.0,0.9680898679029211,0.01972037988735933
greedy,22,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
greedy,22,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
greedy,22,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
greedy,22,3,True,target_detected,5,1250000000000.0,0.9999747131146532,0.1
greedy,22,4,True,target_detected,15,3750000000000.0,0.9936031880020441,0.052994003604709634
greedy,22,5,True,target_detected,15,3750000000000.0,0.9175945770609802,0.01972037988735933
greedy,33,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
greedy,33,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
greedy,33,2,True,target_detected,3,750000000000.0,0.999999999918672,0.1
greedy,33,3,True,target_detected,5,1250000000000.0,0.9230854491693788,0.1
greedy,33,4,True,target_detected,11,2750000000000.0,0.989414195099592,0.052994003604709634
greedy,33,5,True,target_detected,10,2500000000000.0,0.9947354102264324,0.054753710267551485
greedy,44,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
greedy,44,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
greedy,44,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
greedy,44,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
greedy,44,4,False,photon_budget_exhausted,20,5000000000000.0,0.26155352105113017,0.04635334077064474
greedy,44,5,True,target_detected,10,2500000000000.0,0.956727715750254,0.054753710267551485
greedy,55,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
greedy,55,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
greedy,55,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
greedy,55,3,True,target_detected,4,1000000000000.0,0.9999954216167337,0.1
greedy,55,4,True,target_detected,5,1250000000000.0,0.967018927103892,0.1
greedy,55,5,False,photon_budget_exhausted,20,5000000000000.0,0.2483994584247706,0.029312908220882172
entropy,11,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
entropy,11,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
entropy,11,2,True,target_detected,3,750000000000.0,0.9999999886674079,0.1
entropy,11,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
entropy,11,4,False,photon_budget_exhausted,20,5000000000000.0,0.008140516616910731,0.07131043815756215
entropy,11,5,True,target_detected,20,5000000000000.0,0.9680898679029211,0.01972037988735933
entropy,22,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
entropy,22,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
entropy,22,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
entropy,22,3,True,target_detected,5,1250000000000.0,0.9999747131146532,0.1
entropy,22,4,True,target_detected,15,3750000000000.0,0.9936031880020441,0.052994003604709634
entropy,22,5,True,target_detected,15,3750000000000.0,0.9175945770609802,0.01972037988735933
entropy,33,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
entropy,33,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
entropy,33,2,True,target_detected,3,750000000000.0,0.999999999918672,0.1
entropy,33,3,True,target_detected,5,1250000000000.0,0.9230854491693788,0.1
entropy,33,4,True,target_detected,11,2750000000000.0,0.989414195099592,0.052994003604709634
entropy,33,5,True,target_detected,10,2500000000000.0,0.9947354102264324,0.054753710267551485
entropy,44,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
entropy,44,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
entropy,44,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
entropy,44,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
entropy,44,4,False,photon_budget_exhausted,20,5000000000000.0,0.26155352105113017,0.04635334077064474
entropy,44,5,True,target_detected,10,2500000000000.0,0.956727715750254,0.054753710267551485
entropy,55,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
entropy,55,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
entropy,55,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
entropy,55,3,True,target_detected,4,1000000000000.0,0.9999954216167337,0.1
entropy,55,4,True,target_detected,5,1250000000000.0,0.967018927103892,0.1
entropy,55,5,False,photon_budget_exhausted,20,5000000000000.0,0.2483994584247706,0.029312908220882172
information_gain,11,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
information_gain,11,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
information_gain,11,2,True,target_detected,3,750000000000.0,0.999999999999,0.1
information_gain,11,3,True,target_detected,20,5000000000000.0,0.9998603509916688,0.013995420668474088
information_gain,11,4,True,target_detected,6,1500000000000.0,0.9385958992257735,0.1
information_gain,11,5,True,target_detected,14,3500000000000.0,0.91759457706098,0.029312908220882172
information_gain,22,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
information_gain,22,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
information_gain,22,2,True,target_detected,3,750000000000.0,0.9997800056613655,0.1
information_gain,22,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
information_gain,22,4,True,target_detected,11,2750000000000.0,0.9982533192381383,0.08122198326541286
information_gain,22,5,True,target_detected,13,3250000000000.0,0.91759457706098,0.054753710267551485
information_gain,33,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
information_gain,33,1,True,target_detected,2,500000000000.0,0.9999999999988531,0.1
information_gain,33,2,True,target_detected,3,750000000000.0,0.999999999999,0.1
information_gain,33,3,True,target_detected,5,1250000000000.0,0.9230854491693788,0.1
information_gain,33,4,True,target_detected,6,1500000000000.0,0.9385958992257735,0.1
information_gain,33,5,False,photon_budget_exhausted,20,5000000000000.0,0.7802174946998792,0.029312908220882172
information_gain,44,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
information_gain,44,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
information_gain,44,2,True,target_detected,3,750000000000.0,0.9702504894583266,0.1
information_gain,44,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
information_gain,44,4,True,target_detected,16,4000000000000.0,0.9768601343099208,0.06571264794576043
information_gain,44,5,True,target_detected,20,5000000000000.0,0.9744450070360724,0.015499113091399008
information_gain,55,0,True,target_detected,1,250000000000.0,0.999999999999,0.1
information_gain,55,1,True,target_detected,2,500000000000.0,0.999999999999,0.1
information_gain,55,2,True,target_detected,3,750000000000.0,0.9999999886674079,0.1
information_gain,55,3,True,target_detected,4,1000000000000.0,0.9851381945172595,0.1
information_gain,55,4,True,target_detected,5,1250000000000.0,0.967018927103892,0.1
information_gain,55,5,False,photon_budget_exhausted,20,5000000000000.0,0.816912573660087,0.015499113091399008
